,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Age,1.0,0.00983076813532148,-0.001440572526699208,0.20732805364506682,,-0.011354482084201065,0.009345589255404544,0.02555904794930581,0.030303350009465276,0.5099774746616704,-0.005404334433244181,0.49807813146365926,0.027385698467585564,0.30023019827260705,0.0029686768514364465,0.0022119780328714767,0.05220432671079388,,0.038256429125006625,0.68030030239464,-0.018831337946599504,-0.021722071206572498,0.3115354210380114,0.21335661907708806,0.21686688673357954,0.2107864554630923
DailyRate,0.00983076813532148,1.0,-0.004936098953667696,-0.016249219928042485,,-0.050079274333562455,0.01870973495294954,0.022450330439098175,0.04597790381472165,0.002095117988526766,0.03132949969435776,0.006886858435014961,-0.031897473190049264,0.03735971630803793,0.023242731435803996,0.0002891038827222722,0.009105611205019513,,0.04149679250045039,0.014201918199938466,0.0015443659699007687,-0.037683870652913766,-0.0343844421757714,0.009217120224049592,-0.0335971221699468,-0.02337997691841058
DistanceFromHome,-0.001440572526699208,-0.004936098953667696,1.0,0.020427197672280826,,0.03370303647340788,-0.01647202027745775,0.03055232020145219,0.011455377491421668,0.0053384770241780444,-0.0019937338480153937,-0.017885329368097842,0.026475594826855107,-0.02835637479799893,0.04049194658451025,0.026844984541178472,0.00685425023124736,,0.0453493044016933,0.005834489575536293,-0.03691805712689245,-0.026341258735817056,0.009289596060507875,0.018114643636881346,0.009565888764916928,0.012964662188476169
Education,0.20732805364506682,-0.016249219928042485,0.020427197672280826,1.0,,0.038767696856770756,-0.028629722018320602,0.01883883612018802,0.04246076401305001,0.10029060269379368,-0.009961193887149672,0.09428531662277492,-0.02706973572652817,0.1250164679027715,-0.011269811619022853,-0.02372575125366585,-0.0071773095661351255,,0.017881312897492518,0.14787899608419272,-0.027328580570971622,0.009190716648494248,0.06917581771727697,0.05948646892366595,0.05499357665375844,0.06965182815212359
EmployeeCount,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeNumber,-0.011354482084201065,-0.050079274333562455,0.03370303647340788,0.038767696856770756,,1.0,0.0205713144697573,0.030157558824172183,-0.007165264737866184,-0.018653106287232164,-0.046245609266606424,-0.01575822447119229,0.01459563911887358,-0.0012818636611266218,-0.011510485141324361,-0.02178368559026034,-0.06970725856970039,,0.061498316414302895,-0.014740345008205764,0.02495517114985628,0.011458288567969597,-0.012160712031961502,-0.008928405461089943,-0.011000153575282032,-0.01025778301085893
EnvironmentSatisfaction,0.009345589255404544,0.01870973495294954,-0.01647202027745775,-0.028629722018320602,,0.0205713144697573,1.0,-0.0522488957254294,-0.009574838917975415,0.00110825269634019,-0.007618941519230914,-0.006401014781763353,0.039072687636380776,0.012224462109485744,-0.031018308883009743,-0.030264228117108303,0.007382053712863571,,0.0029217503133507545,-0.003436157328818408,-0.018430211557615005,0.028192642619071128,0.0010087360722237366,0.017995042442107267,0.0152242299423624,0.003366818077419261
HourlyRate,0.02555904794930581,0.022450330439098175,0.03055232020145219,0.01883883612018802,,0.030157558824172183,-0.0522488957254294,1.0,0.043259915061610074,-0.027256294505378004,-0.07109982273597691,-0.014750528874038629,-0.01700575978500482,0.02253900491656807,-0.0103140684377154,-0.0009639347416629648,0.0009406894960837347,,0.05086651622491313,-0.0017385343136402248,-0.009266112774294776,-0.005551617168301559,-0.018678593568428492,-0.023408268371610454,-0.024982399926431018,-0.0036918176698398737
JobInvolvement,0.030303350009465276,0.04597790381472165,0.011455377491421668,0.04246076401305001,,-0.007165264737866184,-0.009574838917975415,0.043259915061610074,1.0,-0.012589717232123347,-0.019093129375843725,-0.016239876279442976,-0.018016084123019145,0.015997503826592856,-0.017066960993665052,-0.02893670341538188,0.034784382703738834,,0.022250698187421123,-0.0038631253591600795,-0.01586108043034783,-0.014649772350077249,-0.02136901247723847,0.00784723609696697,-0.024225632521133543,0.03942533162826244
JobLevel,0.5099774746616704,0.002095117988526766,0.0053384770241780444,0.10029060269379368,,-0.018653106287232164,0.00110825269634019,-0.027256294505378004,-0.012589717232123347,1.0,-0.0030466510921868966,0.9501341891164804,0.03945272277073958,0.14332359387990368,-0.035251871364475024,-0.02115617966779174,0.01990193708326464,,0.014710065305556646,0.7817613488765762,-0.01677999784146599,0.03775246089881201,0.5347098296732792,0.3899176588465527,0.35381904192427066,0.37317456492692935
JobSatisfaction,-0.005404334433244181,0.03132949969435776,-0.0019937338480153937,-0.009961193887149672,,-0.046245609266606424,-0.007618941519230914,-0.07109982273597691,-0.019093129375843725,-0.0030466510921868966,1.0,-0.008711840323683143,-0.00048262614829916635,-0.055921936294978,0.020542245043273163,0.0023424423681135706,-0.010327928844585738,,0.010448658392621425,-0.019396921160491985,-0.007563725630420256,-0.01946963368618924,-0.004134874153410916,-0.0037001913704498473,-0.018436230224628296,-0.03160580937990382
MonthlyIncome,0.49807813146365926,0.006886858435014961,-0.017885329368097842,0.09428531662277492,,-0.01575822447119229,-0.006401014781763353,-0.014750528874038629,-0.016239876279442976,0.9501341891164804,-0.008711840323683143,1.0,0.034928326964926315,0.1498534617078356,-0.02794000249290711,-0.01686187836110026,0.024266299827890282,,0.005862881245838654,0.7719287913262945,-0.02061034261794021,0.030466622665327795,0.5143434936124543,0.36447660849593244,0.34518753455867873,0.34384928189775454
MonthlyRate,0.027385698467585564,-0.031897473190049264,0.026475594826855107,-0.02706973572652817,,0.01459563911887358,0.039072687636380776,-0.01700575978500482,-0.018016084123019145,0.03945272277073958,-0.00048262614829916635,0.034928326964926315,1.0,0.017027197272624577,-0.006042945785750251,-0.010297822328396222,-0.004404867003062245,,-0.034797333713250986,0.025525927131068108,0.002179098319620724,0.008349389194721576,-0.02390402783691965,-0.012574088167772468,0.0009879155731029252,-0.0322540610472307
NumCompaniesWorked,0.30023019827260705,0.03735971630803793,-0.02835637479799893,0.1250164679027715,,-0.0012818636611266218,0.012224462109485744,0.02253900491656807,0.015997503826592856,0.14332359387990368,-0.055921936294978,0.1498534617078356,0.017027197272624577,1.0,-0.01063486850169266,-0.014074856510989877,0.05129011709315656,,0.030903216824766003,0.23814624969728684,-0.0648247467824013,-0.008367158343671804,-0.11809549105100296,-0.09015550605860523,-0.036654179982068186,-0.10491014755823137
PercentSalaryHike,0.0029686768514364465,0.023242731435803996,0.04049194658451025,-0.011269811619022853,,-0.011510485141324361,-0.031018308883009743,-0.0103140684377154,-0.017066960993665052,-0.035251871364475024,0.020542245043273163,-0.02794000249290711,-0.006042945785750251,-0.01063486850169266,1.0,0.7728448134517015,-0.039656457223081865,,0.007111183830457679,-0.020756073602485072,-0.005550335138094097,-0.0030042022322761945,-0.036340273873605757,-0.002072290285269423,-0.022702941520847262,-0.016157102739964208
PerformanceRating,0.0022119780328714767,0.0002891038827222722,0.026844984541178472,-0.02372575125366585,,-0.02178368559026034,-0.030264228117108303,-0.0009639347416629648,-0.02893670341538188,-0.02115617966779174,0.0023424423681135706,-0.01686187836110026,-0.010297822328396222,-0.014074856510989877,0.7728448134517015,1.0,-0.031266546471745316,,0.0036342259866429904,0.006845033169582601,-0.01591763257031107,0.0022781782644696507,0.003671404338558731,0.035098576887006794,0.018385788467033377,0.02211731674091679
RelationshipSatisfaction,0.05220432671079388,0.009105611205019513,0.00685425023124736,-0.0071773095661351255,,-0.06970725856970039,0.007382053712863571,0.0009406894960837347,0.034784382703738834,0.01990193708326464,-0.010327928844585738,0.024266299827890282,-0.004404867003062245,0.05129011709315656,-0.039656457223081865,-0.031266546471745316,1.0,,-0.04684545805478986,0.023806227055897695,0.00018155727624403443,0.01954651434438071,0.018882779777790633,-0.01652765971869065,0.033159292891967125,-0.0056949386003723405
StandardHours,,,,,,,,,,,,,,,,,,,,,,,,,,
StockOptionLevel,0.038256429125006625,0.04149679250045039,0.0453493044016933,0.017881312897492518,,0.061498316414302895,0.0029217503133507545,0.05086651622491313,0.022250698187421123,0.014710065305556646,0.010448658392621425,0.005862881245838654,-0.034797333713250986,0.030903216824766003,0.007111183830457679,0.0036342259866429904,-0.04684545805478986,,1.0,0.010712338131865312,0.011956737829987059,0.0040240749695225385,0.01530811199111727,0.05119208201648104,0.014599784533884202,0.021276461368913452
TotalWorkingYears,0.68030030239464,0.014201918199938466,0.005834489575536293,0.14787899608419272,,-0.014740345008205764,-0.003436157328818408,-0.0017385343136402248,-0.0038631253591600795,0.7817613488765762,-0.019396921160491985,0.7719287913262945,0.025525927131068108,0.23814624969728684,-0.020756073602485072,0.006845033169582601,0.023806227055897695,,0.010712338131865312,1.0,-0.0355276727973441,0.0009233657702464761,0.6278915933748643,0.4598321689595186,0.4046428354675,0.4599511327962305
TrainingTimesLastYear,-0.018831337946599504,0.0015443659699007687,-0.03691805712689245,-0.027328580570971622,,0.02495517114985628,-0.018430211557615005,-0.009266112774294776,-0.01586108043034783,-0.01677999784146599,-0.007563725630420256,-0.02061034261794021,0.002179098319620724,-0.0648247467824013,-0.005550335138094097,-0.01591763257031107,0.00018155727624403443,,0.011956737829987059,-0.0355276727973441,1.0,0.028322217321054555,0.003735418567857451,-0.004646789394624152,-0.0022758489326739953,-0.00588084899210873
